file,DDA_check,SF_check,Npp,Dmob,Dve,V/V0,Mtot/Mbc,core_Df,core_Df_error,Df,Df_error,x,coating_RI,wavelength,core_PSP,Cext,Qext,Cabs,Qabs,SSA,g,Cext_HS,Qext_HS,Cabs_HS,Qabs_HS,SSA_HS,g_HS,Cext_CS,Qext_CS,Cabs_CS,Qabs_CS,SSA_CS,g_CS
coated_78_1,TRUE,TRUE,431,0.669122,0.302158,1,1,1.78168,0.0110452,1.905758836,0,0.46438981,(1.6+0j),1.15,0.061720201,0.085693363,1.195058348,0.078345675,1.092589313,0.085743959,0.708515829,0.122571206,1.709347586,0.089222115,1.244269449,0.272079325,0.15823007,0.122571206,1.709347586,0.089222115,1.244269449,0.272079325,0.15823007
coated_78_2,TRUE,TRUE,431,0.656586,0.324896,1.24405,1.1627,1.79682,0.0143023,1.901835031,0,0.445294237,(1.6+0.25949j),0.35,0.24216986,0.447913631,5.402759911,0.286537335,3.456229778,0.360284404,0.906940222,0.235015285,2.834767847,0.125151835,1.509588614,0.467473636,0.748566438,0.227816871,2.747940172,0.123635667,1.491300509,0.45730241,0.755693001
coated_78_3,TRUE,TRUE,431,0.663006,0.342424,1.456105,1.30407,1.81568,0.0162687,1.936695794,0,0.435907764,(1.6+0.24616j),0.4,0.241741486,0.436824806,4.743392023,0.274243449,2.977954021,0.37218893,0.898057274,0.265589956,2.883987495,0.142279767,1.544987146,0.464287849,0.739629093,0.250777107,2.723137775,0.139485849,1.514648566,0.443785555,0.750870501
coated_78_4,TRUE,TRUE,431,0.664062,0.367566,1.801015,1.53401,1.84348,0.0115673,1.963946353,0,0.422222178,(1.6+0j),1.2,0.09510433,0.113649691,1.071044993,0.094313579,0.888819713,0.170137838,0.650597014,0.153054978,1.442403983,0.103223976,0.972792109,0.32557583,0.226565295,0.161319255,1.520287281,0.106469572,1.003378899,0.340007043,0.18259559
coated_78_5,TRUE,TRUE,431,0.657516,0.393372,2.20783,1.80522,1.89453,0.0125411,2.096123375,0,0.408244557,(1.6+0.07418j),0.55,0.281711149,0.409951311,3.373148884,0.228704697,1.881821019,0.442117415,0.838193711,0.368719846,3.033889399,0.185118766,1.523188593,0.497941951,0.713076475,0.32097363,2.641025438,0.17781224,1.463069255,0.446022278,0.718275234
coated_78_6,TRUE,TRUE,431,0.655921,0.438738,3.064855,2.37657,1.96083,0.0123644,2.317390612,0,0.389301889,(1.6+0.04922j),0.45,0.421882553,0.615455049,4.07095175,0.28633216,1.89395539,0.534763489,0.895814608,0.470236343,3.110396882,0.224632211,1.485838639,0.522299341,0.784434841,0.403430677,2.668508158,0.216660259,1.433107846,0.462955419,0.789787499
coated_78_7,TRUE,TRUE,431,0.684697,0.486718,4.185985,3.12399,2.05691,0.0161439,2.064713626,0,0.378860621,(1.6+0j),0.5,0.526281614,0.694274657,3.731527236,0.271270453,1.458000914,0.609275018,0.890182305,0.628550242,3.378277348,0.254687004,1.368869629,0.594802472,0.772882082,0.523728939,2.814892897,0.224486381,1.206549938,0.571369149,0.698102357
coated_78_8,TRUE,TRUE,431,0.722998,0.58314,7.202755,5.13517,2.15326,0.0170666,1.843566915,0,0.360076547,(1.6+0.25659j),0.9,0.350067406,0.713834613,2.672772881,0.382576579,1.432461086,0.464054317,0.814914927,0.717284907,2.685691631,0.363544334,1.361199665,0.493166062,0.67715362,0.670024696,2.508737746,0.361415305,1.353228055,0.460594055,0.685532177
coated_78_9,TRUE,TRUE,431,0.845121,0.735372,14.45005,9.9667,2.38719,0.0135607,3,0,0.349259083,(1.6+0j),0.5,0.88411361,1.534323326,3.61254135,0.357483068,0.841688544,0.767009298,0.879550278,1.291735499,3.041371935,0.411061407,0.967837942,0.681775869,0.692582901,1.451196707,3.416820967,0.245670955,0.578428594,0.830711471,0.569787235
coated_78_10,TRUE,TRUE,431,0.686872,0.561226,6.426535,4.61769,2.53566,0.0195215,3,0,0.358829433,(1.6+0j),1,0.516596613,0.529031642,2.13853421,0.185664196,0.750520767,0.649048978,0.737132853,0.591388196,2.390601597,0.192060448,0.776376697,0.675237941,0.611613723,0.537147046,2.171339564,0.20207172,0.816845823,0.623805582,0.591383283
